time [sec],pos_east [m],pos_north [m],pos_up [m],vel_east [m/s],vel_north [m/s],vel_up [m/s],altitude [km],downrange [km],vel_air_east [m/s],vel_air_north [m/s],vel_air_up [m/s],vel_air_abs [m/s]
0.0,0.02756066758167065,0.0043158853673786616,0.798852549440691,0.0,0.0,0.0,7.988525494406909E-4,2.7896545736913463E-5,1.3145240835371188,0.2058489780914372,0.0,1.3305440120418381
0.01,0.027559896625149793,0.004315764638809323,0.7988302030813235,1.4920981163794232E-4,2.3365632955342433E-5,0.004324882119611928,7.988302030813235E-4,2.7895765384849005E-5,-1.3143667022419236,-0.2058243328383054,0.004324882119611928,1.3303917425164633
0.02,0.027590114170446777,0.004320496580123838,0.7997060658675494,0.007269948385642989,0.0011384435361087419,0.2107211947955689,7.997060658675494E-4,2.7926351187313208E-5,-1.3075661109603651,-0.204759388663255,0.2107211947955689,1.3401712441751001
0.03,0.027720700820717696,0.004340945903835216,0.8034911511954976,0.01935155600232054,0.0030303727998943204,0.560909484586621,8.034911511954977E-4,2.805852927955709E-5,-1.2968649082535018,-0.20308362503964011,0.560909484586621,1.4274876528074887
0.04,0.027985557807399444,0.004382421401113371,0.8111680943762428,0.03396723875733752,0.00531912764045478,0.9845485490636622,8.111680943762428E-4,2.832661404277314E-5,-1.2850335154448094,-0.2012308783691384,0.9845485490636622,1.6313003548362952
0.05,0.028402668482054656,0.004447739189660666,0.8232581471610615,0.049471380061795175,0.007747011376993202,1.4339397973435761,8.232581471610615E-4,2.8748807989214862E-5,-1.2738729501097164,-0.19948318047761723,1.4339397973435761,1.9284006779506258
0.06,0.028975909659295886,0.0045375063624442345,0.8398736799498275,0.065165600589477,0.010204660725548273,1.888840537424382,8.398736799498275E-4,2.9329035179713953E-5,-1.2640679385039943,-0.1979477566352624,1.888840537424382,2.281396423975522
0.07,0.029705543593594053,0.004651763987418264,0.8610222942511799,0.08072890744335272,0.012641809539872989,2.339946713321764,8.6102229425118E-4,3.006756106480135E-5,-1.255870872561917,-0.19666413036423636,2.339946713321764,2.6629380484545035
0.08,0.030596129920548658,0.004791226084462936,0.8868361521948046,0.0975904917925263,0.015282263184465295,2.8286837733015746,8.868361521948046E-4,3.096900084774339E-5,-1.2478121387415293,-0.1954021663253775,2.8286837733015746,3.0978490972826602
0.09,0.03165543675037831,0.004957109107175584,0.9175404143155139,0.11410305571605117,0.01786806168895587,3.3073043926686845,9.17540414315514E-4,3.204121730767489E-5,-1.2415142985174825,-0.1944159508649389,3.3073043926686845,3.537996277717043
0.1,0.032875768190083005,0.005148207910873515,0.9529120133118701,0.1298499691662784,0.020333962528978056,3.7637324497271414,9.529120133118701E-4,3.327642076278118E-5,-1.2372104133988897,-0.19374198044128463,3.7637324497271414,3.9665989859244695
0.11,0.03425001554472895,0.005363409303637302,0.9927449019589926,0.14485868758166584,0.022684265111458206,4.198763746935034,9.927449019589926E-4,3.46674158854178E-5,-1.2346990757191623,-0.1933487154555086,4.198763746935034,4.380808434059401
0.12,0.03577210967948837,0.005601762884315804,1.0368631649306033,0.159585290585609,0.024990389599465264,4.625617861387795,0.0010368631649306033,3.620805957702572E-5,-1.2333671390740957,-0.1931401397430487,4.625617861387795,4.7911207679328625
