time [sec],pos_east [m],pos_north [m],pos_up [m],vel_east [m/s],vel_north [m/s],vel_up [m/s],omega_roll [rad/s],omega_pitch [rad/s],omega_yaw [rad/s],quat0,quat1,quat2,quat3,yaw [deg],pitch [deg],roll [deg],Mass [kg],Lcg [m],Lcg_prop [m],Lcp [m],Ij_roll [kg m2],Ij_pitch [kg m2],Altitude [km],Downrange [km],vel_air_east [m/s],vel_air_north [m/s],vel_air_up [m/s],vel_air_BODY_x [m/s],vel_air_BODY_y [m/s],vel_air_BODY_z [m/s],vel_air_abs [m/s],alpha [deg],beta [deg],Mach,Dynamics Pressure [kPa],Fst,Drag [N],Normal Force [N],Side Force [N],Thrust [N],Force_BODY_x [N],Force_BODY_y [N],Force_BODY_z [N],Acc_east [m/s2],Acc_north [m/s2],Acc_up [m/s2],Acc_BODY_x [m/s2],Acc_BODY_y [m/s2],Acc_BODY_z [m/s2],Acc_abs [m/s2],Atomospheric Pressure [Pa]
0.0,0.02756066758167065,0.0043158853673786616,0.798852549440691,0.0,0.0,0.0,0.0,0.0,0.0,-0.053897911846684736,0.7171712948364415,0.055812921567253905,0.692564269037406,8.899999999999999,-87.99999999999986,180.0,8.27454,1.257423313440989,1.8117897739045645,1.465,0.02352035483,2.714272706299251,7.988525494406909E-4,2.7896545736913463E-5,-1.3145240835371188,-0.2058489780914372,0.0,-0.04643531636078665,4.718447854656915E-16,-1.329733480579798,1.330544012041838,-87.99999999999987,2.0318542301319836E-14,0.0041798353322177965,0.0010842612146337706,10.190313527688327,0.013409268397849268,-0.3168221771315114,7.315187281866896E-17,30.6311012599431,30.61769199154525,-7.315187281866896E-17,0.3168221771315114,0.16538606024233896,0.025898765886317798,-6.110008988773171,-6.100444704868405,-2.42861286636753E-17,0.38053585997760997,6.112301787206344,101315.40341710926
0.01,0.027559896625149793,0.004315764638809323,0.7988302030813235,1.4920981163794232E-4,2.3365632955342433E-5,0.004324882119611928,0.0,0.0,0.0,-0.053897911846684736,0.7171712948364415,0.055812921567253905,0.692564269037406,8.899999999999999,-87.99999999999986,180.0,8.273282785714287,1.2573090579117092,1.8115372413945348,1.465,0.023519875845988712,2.713636811655941,7.988302030813235E-4,2.7895765384849005E-5,-1.3143667022419236,-0.2058243328383054,0.004324882119611928,-0.04210750937781372,4.440892098500626E-16,-1.3297252145499794,1.3303917425164633,-88.1862593707393,1.912552268520508E-14,0.004179356984160076,0.001084013062081582,10.195922537471326,0.013406199447184058,-0.3174200939154505,6.88409424579155E-17,140.38874245545003,140.37533625600284,-6.88409424579155E-17,0.3174200939154505,0.6229027865063393,0.09754397325883434,7.148985332293055,7.166634287529253,-5.551115123125783E-17,0.38061394917657543,7.176734214773299,101315.4036855449
0.02,0.027590114170446777,0.004320496580123838,0.7997060658675494,0.007269948385642989,0.0011384435361087419,0.2107211947955689,0.0,0.0,0.0,-0.053897911846684736,0.7171712948364415,0.055812921567253905,0.692564269037406,8.899999999999999,-87.99999999999986,180.0,8.272025571428571,1.2571948937290094,1.8112851242847379,1.465,0.023519396880407675,2.7130021188329687,7.997060658675494E-4,2.7926351187313208E-5,-1.3075661109603651,-0.204759388663255,0.2107211947955689,0.16440330185085616,4.718447854656915E-16,-1.3300490660326678,1.3401712441751001,-82.95358530512388,2.017258235463801E-14,0.004210078831330919,0.0011000083651350099,10.201527062886141,0.01360401645737823,-0.3029912788182237,7.368116160640705E-17,331.3055893751961,331.29198535873877,-7.368116160640705E-17,0.3029912788182237,1.4170504200220657,0.22190417392786152,30.21735796186197,30.249007403778204,-1.1102230246251565E-16,0.3788754897927187,30.251380060264925,101315.39316424634
0.03,0.027720700820717696,0.004340945903835216,0.8034911511954976,0.01935155600232054,0.0030303727998943204,0.560909484586621,0.0,0.0,0.0,-0.053897911846684736,0.7171712948364415,0.055812921567253905,0.692564269037406,8.899999999999999,-87.99999999999986,180.0,8.270768357142858,1.2570808209345448,1.8110334241726374,1.465,0.02351891793325141,2.712368626431346,8.034911511954977E-4,2.805852927955709E-5,-1.2968649082535018,-0.20308362503964011,0.560909484586621,0.5147562843732891,4.163336342344337E-16,-1.3314454425983961,1.4274876528074887,-68.86276903603158,1.6710589449976386E-14,0.004484379043646274,0.0012480154467930105,10.207127101887842,0.01543444869635201,-0.2853667846269748,6.924855400551893E-17,401.24417259302345,401.2287381443271,-6.924855400551893E-17,0.2853667846269748,1.7067151975113082,0.267264467574821,38.6742606483876,38.71099072754586,-1.1102230246251565E-16,0.37675011920910606,38.712824022027455,101315.34769593313
0.04,0.027985557807399444,0.004382421401113371,0.8111680943762428,0.03396723875733752,0.00531912764045478,0.9845485490636622,0.0,0.0,0.0,-0.053897911846684736,0.7171712948364415,0.055812921567253905,0.692564269037406,8.899999999999999,-87.99999999999986,180.0,8.269511142857143,1.2569668395699976,1.810782142663898,1.465,0.023518439004514436,2.7117363330516686,8.111680943762428E-4,2.832661404277314E-5,-1.2850335154448094,-0.2012308783691384,0.9845485490636622,0.9385552211074238,4.163336342344337E-16,-1.3342619475279272,1.631300354836295,-54.87643046352446,1.4622788525887494E-14,0.0051246466717934655,0.00162983177674852,10.212722652430168,0.02015644518387235,-0.29698028123726716,7.913561090271107E-17,447.6641962845973,447.64403983941344,-7.913561090271107E-17,0.29698028123726716,1.90188750771422,0.29782763572835447,44.29098595722179,44.33118890428196,-2.220446049250313E-16,0.3781597391166016,44.33280178891721,101315.25547675311
0.05,0.028402668482054656,0.004447739189660666,0.8232581471610615,0.049471380061795175,0.007747011376993202,1.4339397973435761,0.0,0.0,0.0,-0.053897911846684736,0.7171712948364415,0.055812921567253905,0.692564269037406,8.899999999999999,-87.99999999999986,180.0,8.26825392857143,1.256852949677073,1.810531281372438,1.465,0.02351796009419127,2.7111052372941167,8.232581471610615E-4,2.8748807989214862E-5,-1.2738729501097164,-0.19948318047761723,1.4339397973435761,1.3880669572553475,4.163336342344337E-16,-1.3386557798389827,1.9284006779506258,-43.96185187140429,1.2369918961202073E-14,0.006057973092970513,0.002277555488375113,10.218313712465735,0.02816696975085669,-0.3324634629501245,9.354806313172446E-17,456.32999738751175,456.30183041776087,-9.354806313172446E-17,0.3324634629501245,1.9425176412371017,0.3041901448448848,45.345536390893,45.38653218615764,-1.1102230246251565E-16,0.38245669482480316,45.388143573058144,101315.11024528963
0.06,0.028975909659295886,0.0045375063624442345,0.8398736799498275,0.065165600589477,0.010204660725548273,1.888840537424382,0.0,0.0,0.0,-0.053897911846684736,0.7171712948364415,0.055812921567253905,0.692564269037406,8.899999999999999,-87.99999999999986,180.0,8.266996714285714,1.256739151297505,1.8102808419204834,1.465,0.023517481202276435,2.7104753377584574,8.398736799498275E-4,2.9329035179713953E-5,-1.2640679385039943,-0.1979477566352624,1.888840537424382,1.8430369442897256,4.440892098500626E-16,-1.3446131284914222,2.281396423975522,-36.11313860884292,1.1153010140766812E-14,0.007166892891483229,0.0031876838027337534,10.223900279945756,0.03942270285188744,-0.38224291957625545,1.180500871011633E-16,456.509469876308,456.4700471734561,-1.180500871011633E-16,0.38224291957625545,1.9494599814050682,0.3052772863031789,45.374049229180976,45.41527289205746,-2.220446049250313E-16,0.388484276029079,45.41693441760211,101314.9106518842
0.07,0.029705543593594053,0.004651763987418264,0.8610222942511799,0.08072890744335272,0.012641809539872989,2.339946713321764,0.0,0.0,0.0,-0.053897911846684736,0.7171712948364415,0.055812921567253905,0.692564269037406,8.899999999999999,-87.99999999999986,180.0,8.2657395,1.2566254444730487,1.8100308259386213,1.465,0.02351700232876445,2.709846633044041,8.6102229425118E-4,3.006756106480135E-5,-1.255870872561917,-0.19666413036423636,2.339946713321764,2.2941578783080865,4.718447854656915E-16,-1.3520645987909077,2.6629380484545035,-30.513020434109333,1.0152213194794411E-14,0.008365489124033782,0.0043430513764947535,10.229482352820392,0.05371135736210718,-0.44002681792755616,1.4640458412415218E-16,457.3951949762536,457.3414836188915,-1.4640458412415218E-16,0.44002681792755616,1.9602939552156704,0.30697384132678934,45.48756157234151,45.529098794655596,-2.220446049250313E-16,0.39548207818344694,45.53081641182897,101314.65660548526
0.08,0.030596129920548658,0.004791226084462936,0.8868361521948046,0.0975904917925263,0.015282263184465295,2.8286837733015746,0.0,0.0,0.0,-0.053897911846684736,0.7171712948364415,0.055812921567253905,0.692564269037406,8.899999999999999,-87.99999999999986,180.0,8.264482285714285,1.2565118292454889,1.809781235065853,1.465,0.023516523473649825,2.709219121749802,8.868361521948046E-4,3.096900084774339E-5,-1.2478121387415293,-0.1954021663253775,2.8286837733015746,2.782881886134827,4.440892098500626E-16,-1.3609693006668668,3.0978490972826602,-26.060960305269735,8.21358195724486E-15,0.009731744066995575,0.005877495181270918,10.235059929038352,0.07268812102565891,-0.5086062299138194,1.602964320742148E-16,485.9578781278237,485.88519000679804,-1.602964320742148E-16,0.5086062299138194,2.087869280688123,0.32695160415904045,48.94735993394887,48.99129611499316,-2.220446049250313E-16,0.40378826295668335,48.99296010640964,101314.34651884186
0.09,0.03165543675037831,0.004957109107175584,0.9175404143155139,0.11410305571605117,0.01786806168895587,3.3073043926686845,0.0,0.0,0.0,-0.053897911846684736,0.7171712948364415,0.055812921567253905,0.692564269037406,8.899999999999999,-87.99999999999986,180.0,8.263225071428572,1.2563983056566326,1.8095320709496503,1.465,0.02351604463692709,2.70859280247426,9.17540414315514E-4,3.204121730767489E-5,-1.2415142985174825,-0.1944159508649389,3.3073043926686845,3.261433412775587,4.440892098500626E-16,-1.37130221146567,3.5379962777170424,-22.804804831330028,7.191764901495778E-15,0.011114449681015149,0.007666289718189469,10.240633006547252,0.09481048944612225,-0.580511151153474,1.8307105685275774E-16,465.1842121814811,465.089401692035,-1.8307105685275774E-16,0.580511151153474,2.010005799854712,0.3147585084516789,46.44086129794058,46.48357385739426,-2.220446049250313E-16,0.41249942159943576,46.48540409987469,101313.97768766276
