time,thrust
0,30.62843813
0.001,27.11281875
0.002,0.765783896
0.003,0.580544771
0.004,0.565910586
0.005,0.594286047
0.006,0.591121095
0.007,0.636700411
0.008,24.3810564
0.009,114.8587183
0.01,140.3860794
0.011,172.3211611
0.012,181.5951217
0.013,198.8697037
0.014,265.5037733
0.015,263.4755111
0.016,270.0858699
0.017,293.7522534
0.018,312.3970818
0.019,324.1241943
0.02,331.3029234
0.021,337.3041658
0.022,349.5507601
0.023,365.3510949
0.024,368.0893171
0.025,365.0083157
0.026,374.9562473
0.027,386.9460036
0.028,395.3575277
0.029,399.8193902
0.03,401.241494
0.031,406.8835475
0.032,416.048687
0.033,423.9956367
0.034,431.2761131
0.035,433.7864638
0.036,439.7629097
0.037,446.9511045
0.038,447.7903327
0.039,445.7473709
0.04,447.6614921
0.041,451.0207141
0.042,452.6225202
0.043,452.9744728
0.044,453.1233115
0.045,455.0610382
0.046,455.9873484
0.047,452.8397894
0.048,450.9040065
0.049,452.4194917
0.05,456.3272529
0.051,460.4763676
0.052,459.0287486
0.053,454.2857162
0.054,453.7092052
0.055,457.7623712
0.056,460.5921838
0.057,459.8949061
0.058,456.2785203
0.059,455.1743894
0.06,456.50667
0.061,457.1403215
0.062,455.4073415
0.063,455.318431
0.064,455.1611378
0.065,453.7920807
0.066,452.5731395
0.067,450.7863455
0.068,451.7550409
0.069,453.239324
0.07,457.3923246
0.071,459.6959104
0.072,482.5609744
0.073,489.0723372
0.074,488.7580692
0.075,489.798605
0.076,490.4549213
0.077,493.3663767
0.078,497.628335
0.079,489.0619494
0.08,485.9549217
0.081,483.4070193
0.082,487.376512
0.083,488.2292391
0.084,475.1138666
0.085,474.1300817
0.086,474.7276181
0.087,473.2119473
0.088,470.0217675
0.089,466.5950347
0.09,465.1811534
0.091,465.9794015
0.092,464.1067506
0.093,459.3753918
0.094,457.369411
0.095,460.5589955
0.096,460.4095977
0.097,456.3563577
0.098,451.5963259
0.099,450.1121955
0.1,452.761292
0.101,452.3810758
0.102,447.1422033
0.103,441.3614092
0.104,439.315286
0.105,441.6633151
0.106,438.9720472
0.107,432.9374962
0.108,431.9064007
0.109,436.3074235
0.11,436.2884884
0.111,433.6402302
0.112,431.3217126
0.113,432.3923551
0.114,434.4823263
0.115,433.5028424
0.116,430.917665
0.117,432.4886531
0.118,436.3491881
0.119,438.6757123
0.12,433.1773482
0.121,424.8417811
0.122,427.4908776
0.123,432.6503039
0.124,433.0198892
0.125,427.4670462
0.126,425.2732566
0.127,428.9373809
0.128,432.7434369
0.129,433.018401
0.13,431.8123996
0.131,432.298111
0.132,433.2325563
0.133,432.0666973
0.134,429.9359885
0.135,431.9843836
0.136,436.1502871
0.137,436.8854544
0.138,432.0236331
0.139,428.7460004
0.14,432.6796517
0.141,436.8871311
0.142,435.9176828
0.143,431.7497504
0.144,432.6139467
0.145,436.8544002
0.146,439.2268013
0.147,436.7362452
0.148,434.3216727
0.149,438.1105249
0.15,442.0169368
0.151,441.7485457
0.152,437.822901
0.153,438.1494767
0.154,442.3999657
0.155,445.7415176
0.156,443.464576
0.157,440.9926574
0.158,443.6360193
0.159,445.9367378
0.16,445.5536543
0.161,442.3018274
0.162,441.6793235
0.163,442.9406422
0.164,444.9187883
0.165,442.3895234
0.166,440.3233291
0.167,442.6498533
0.168,443.6832208
0.169,441.5826188
0.17,437.7501617
0.171,438.7605907
0.172,443.4841859
0.173,445.017899
0.174,439.4822599
0.175,434.9544801
0.176,437.7053662
0.177,441.2691346
0.178,440.0401947
0.179,434.855801
0.18,434.4483454
0.181,436.7189571
0.182,438.223997
0.183,435.2101568
0.184,432.7697786
0.185,433.8862981
0.186,435.9518971
0.187,435.0455296
0.188,431.759295
0.189,429.3819976
0.19,433.5464674
0.191,438.2657616
0.192,434.8734365
0.193,433.3333935
0.194,434.8326989
0.195,435.3098083
0.196,432.7934464
0.197,429.8412533
0.198,431.5025617
0.199,432.6061783
0.2,429.7371372
0.201,424.3118895
0.202,424.294388
0.203,427.8180141
0.204,430.3280461
0.205,426.5658381
0.206,421.5979263
0.207,421.9789808
0.208,425.4710665
0.209,426.3065896
0.21,422.3092622
0.211,421.3512831
0.212,423.143054
0.213,423.6674741
0.214,421.3948335
0.215,418.9315167
0.216,420.2315441
0.217,422.1795834
0.218,420.5735923
0.219,415.0838301
0.22,415.1337104
0.221,418.9268636
0.222,419.4269115
0.223,414.5335498
0.224,411.0767102
0.225,412.5344396
0.226,415.4401604
0.227,414.3072754
0.228,409.4440204
0.229,408.3340739
0.23,411.0462512
0.231,411.2925422
0.232,407.8643758
0.233,406.709986
0.234,408.4157376
0.235,408.3910679
0.236,405.5320624
0.237,402.1469056
0.238,403.1802731
0.239,406.4229028
0.24,405.5151016
0.241,399.9421875
0.242,396.8939395
0.243,399.8598739
0.244,403.1784873
0.245,401.107992
0.246,396.4182092
0.247,396.0078863
0.248,398.8619955
0.249,400.2953527
0.25,396.6750765
0.251,394.9056488
0.252,396.0092654
0.253,396.913604
0.254,394.1277149
0.255,393.0536097
0.256,393.8848319
0.257,396.2242591
0.258,394.4003524
0.259,391.4653632
0.26,390.9288787
0.261,393.9664957
0.262,395.0729796
0.263,392.0017933
0.264,389.810871
0.265,392.478605
0.266,395.9033089
0.267,394.6471296
0.268,390.5222069
0.269,390.2982591
0.27,394.4569942
0.271,397.857326
0.272,395.3194592
0.273,392.9364271
0.274,394.412794
0.275,397.4862524
0.276,397.3411557
0.277,395.8025463
0.278,396.3226654
0.279,399.8893011
0.28,401.6825057
0.281,399.343917
0.282,398.5106658
0.283,401.4651309
0.284,403.9866322
0.285,403.7784546
0.286,401.1603032
0.287,402.7155211
0.288,406.8484504
0.289,409.1878776
0.29,406.3704481
0.291,404.1465517
0.292,407.9009962
0.293,412.7908954
0.294,412.3848734
0.295,408.5438143
0.296,408.4331253
0.297,411.9768225
0.298,413.820205
0.299,411.6550885
0.3,409.651975
0.301,412.2322561
0.302,416.2103508
0.303,416.0595194
0.304,413.2478245
0.305,415.2073331
0.306,419.6843396
0.307,420.9241535
0.308,418.0837855
0.309,418.2196851
0.31,422.7669407
0.311,425.6511567
0.312,422.331948
0.313,417.8815856
0.314,419.4497064
0.315,425.8850855
0.316,427.8876038
0.317,423.7268396
0.318,420.6155109
0.319,421.7305968
0.32,424.7123013
0.321,423.1507535
0.322,420.5813463
0.323,421.912914
0.324,426.1031896
0.325,424.4656581
0.326,421.1994946
0.327,421.2565432
0.328,425.9658018
0.329,427.7762103
0.33,424.2820957
0.331,420.0940922
0.332,422.0435652
0.333,426.0675368
0.334,425.9353429
0.335,422.8512536
0.336,422.1341285
0.337,425.6978969
0.338,426.625174
0.339,423.7676021
0.34,421.7974627
0.341,424.8107076
0.342,429.5213999
0.343,427.1756429
0.344,422.2751129
0.345,422.2318056
0.346,427.3596914
0.347,429.5801252
0.348,427.0723652
0.349,423.1252156
0.35,423.5808203
0.351,426.5080459
0.352,425.8783737
0.353,423.0064654
0.354,422.7395079
0.355,425.2151323
0.356,425.8370408
0.357,423.5687012
0.358,422.3282921
0.359,424.7809779
0.36,428.2816655
0.361,426.320128
0.362,421.5773
0.363,422.0630114
0.364,426.4582996
0.365,428.1511484
0.366,423.2420164
0.367,420.8045055
0.368,423.7001907
0.369,427.5779295
0.37,427.07872
0.371,424.3860184
0.372,423.1771497
0.373,424.8829014
0.374,424.686193
0.375,421.6336442
0.376,419.4140488
0.377,422.0889511
0.378,424.0656636
0.379,420.7249501
0.38,416.8623862
0.381,417.8484431
0.382,422.3713266
0.383,423.4677749
0.384,420.5499896
0.385,417.2952954
0.386,419.4555157
0.387,422.2451104
0.388,421.7760076
0.389,420.1671492
0.39,421.4227332
0.391,424.4890234
0.392,424.2951823
0.393,420.243376
0.394,418.2804048
0.395,422.1409398
0.396,424.1047493
0.397,421.0722716
0.398,419.040485
0.399,420.5526932
0.4,423.1659484
0.401,422.4430887
0.402,419.7876623
0.403,419.9120926
0.404,422.6973864
0.405,423.9199964
0.406,420.5735482
0.407,417.5324686
0.408,420.0539699
0.409,423.6005344
0.41,422.4002676
0.411,419.0910945
0.412,419.0248488
0.413,422.6703355
0.414,424.6914912
0.415,422.0762071
0.416,420.1146696
0.417,422.7910056
0.418,424.7791873
0.419,422.5180159
0.42,421.2976779
0.421,422.8887372
0.422,426.7879809
0.423,427.7683031
0.424,424.135124
0.425,421.623063
0.426,424.2305836
0.427,426.6445608
0.428,425.3037959
0.429,423.991704
0.43,424.4731144
0.431,426.7437261
0.432,427.6279935
0.433,425.1990845
0.434,423.6002617
0.435,427.8364142
0.436,431.6453376
0.437,428.3318635
0.438,425.6219582
0.439,425.9040905
0.44,428.644941
0.441,429.6955124
0.442,429.1963029
0.443,428.041913
0.444,430.8028347
