time,thrust
0,6.181622549
0.0002,7.421390729
0.0004,8.616881474
0.0006,9.768094784
0.0008,10.87503066
0.001,11.98196653
0.0012,13.13317984
0.0014,14.24011572
0.0016,15.34705159
0.0018,16.45398747
0.002,17.60520078
0.0022,18.75641409
0.0024,19.9076274
0.0026,21.10311814
0.0028,22.34288632
0.003,23.53837707
0.0032,24.73386781
0.0034,25.97363599
0.0036,27.21340417
0.0038,28.40889492
0.004,29.56010823
0.0042,30.62276667
0.0044,31.59687024
0.0046,32.52669637
0.0048,33.3236902
0.005,34.0764066
0.0052,34.69629069
0.0054,35.18334247
0.0056,35.58183939
0.0058,35.89178143
0.006,36.06889117
0.0062,36.20172348
0.0064,36.29027835
0.0066,36.29027835
0.0068,36.33455578
0.007,36.37883322
0.0072,36.51166552
0.0074,36.77733013
0.0076,37.17582705
0.0078,37.79571114
0.008,38.72553727
0.0082,40.00958289
0.0084,41.73640285
0.0086,43.99455204
0.0088,46.73975301
0.009,50.06056063
0.0092,54.04552978
0.0094,58.65038302
0.0096,63.91939779
0.0098,69.85257408
0.01,76.40563446
0.0102,83.49002406
0.0104,90.97291057
0.0106,98.76573913
0.0108,106.7356774
0.011,114.7941706
0.0112,122.7198315
0.0114,130.4683826
0.0116,137.9955465
0.0118,145.2127684
0.012,152.0314934
0.0122,158.4074441
0.0124,164.4291752
0.0126,170.0966869
0.0128,175.5428114
0.013,180.6789939
0.0132,185.5495117
0.0134,190.1986424
0.0136,194.6263859
0.0138,198.7441874
0.014,202.5520468
0.0142,206.0942416
0.0144,209.3707718
0.0146,212.3816373
0.0148,215.0825609
0.015,217.6063747
0.0152,219.9530787
0.0154,222.2112279
0.0156,224.3808222
0.0158,226.5061391
0.016,228.7200109
0.0162,231.0224375
0.0164,233.3248641
0.0166,235.5387358
0.0168,237.7083302
0.017,239.833647
0.0172,241.9146865
0.0174,243.8186162
0.0176,245.5454362
0.0178,247.2279787
0.018,248.8662438
0.0182,250.3716766
0.0184,251.7885545
0.0186,253.2939873
0.0188,254.9765298
0.019,256.7919046
0.0192,258.8286667
0.0194,261.1310933
0.0196,263.7877394
0.0198,266.7100501
0.02,269.8094705
0.0202,273.1302782
0.0204,276.7610278
0.0206,280.6574421
0.0208,284.7309661
0.021,288.893045
0.0212,293.1436788
0.0214,297.5714223
0.0216,302.0434432
0.0218,306.604019
0.022,311.2531497
0.0222,316.1236675
0.0224,321.0827403
0.0226,326.1303679
0.0228,331.2665503
0.023,336.5798425
0.0232,342.025967
0.0234,347.516369
0.0236,353.0510483
0.0238,358.5414503
0.024,364.0318522
0.0242,369.3894219
0.0244,374.6584366
0.0246,379.7060642
0.0248,384.5765821
0.025,389.2257127
0.0252,393.6534562
0.0254,397.8155351
0.0256,401.7119494
0.0258,405.4755314
0.026,409.0177262
0.0262,412.3385338
0.0264,415.4379543
0.0266,418.4045424
0.0268,421.2382982
0.027,423.9834992
0.0272,426.6401453
0.0274,429.3410688
0.0276,432.1305472
0.0278,434.9643031
0.028,437.8423364
0.0282,440.8532019
0.0284,443.9968998
0.0286,447.1848751
0.0288,450.328573
0.029,453.4279935
0.0292,456.3945816
0.0294,459.0955052
0.0296,461.4864867
0.0298,463.6118035
0.03,465.6042881
0.0302,467.3753855
0.0304,468.9693732
0.0306,470.5190834
0.0308,472.0687936
0.031,473.7070587
0.0312,475.566711
0.0314,477.603473
0.0316,479.8173447
0.0318,482.0312165
0.032,483.9351462
0.0322,485.5291339
0.0324,486.7246246
0.0326,487.477341
0.0328,487.8315605
0.033,487.6987282
0.0332,487.2116764
0.0334,486.5032374
0.0336,485.4848564
0.0338,484.2008108
0.034,483.0938749
0.0342,482.2526037
0.0344,481.7212744
0.0346,481.5441647
0.0348,481.8098293
0.035,482.6068231
0.0352,483.713759
0.0354,485.0863595
0.0356,486.9017343
0.0358,489.2484384
0.036,491.9050845
0.0362,494.6502855
0.0364,497.351209
0.0366,499.8750228
0.0368,501.9560622
0.037,503.3729402
0.0372,504.2584889
0.0374,504.6127083
0.0376,504.3913212
0.0378,503.5500499
0.038,502.0888945
0.0382,500.2735197
0.0384,498.2810351
0.0386,496.1999957
0.0388,494.2517886
0.039,492.7020783
0.0392,491.550865
0.0394,490.8867035
0.0396,490.7095938
0.0398,491.1080907
0.04,492.1707491
0.0402,493.8532916
0.0404,496.1999957
0.0406,499.2108613
0.0408,502.8416109
0.041,506.8265801
0.0412,511.0329364
0.0414,515.3278476
0.0416,519.5784814
0.0418,523.5634505
0.042,527.2384776
0.0422,530.5592853
0.0424,533.3930411
0.0426,535.6954677
0.0428,537.3780102
0.043,538.6620559
0.0432,539.5033271
0.0434,539.8575466
0.0436,539.8575466
0.0438,539.6804369
0.044,539.2376625
0.0442,538.4849461
0.0444,537.4665651
0.0446,536.3153518
0.0448,534.9870288
0.045,533.3930411
0.0452,531.6219437
0.0454,529.718014
0.0456,527.7255294
0.0458,525.5559351
0.046,523.2977859
0.0462,520.9068044
0.0464,518.4272681
0.0466,515.6820671
0.0468,512.8040338
0.047,509.7046134
0.0472,506.3838057
0.0474,502.8416109
0.0476,499.1223064
0.0478,495.2701696
0.048,491.2852004
0.0482,487.3002313
0.0484,483.3595395
0.0486,479.640235
0.0488,476.0980402
0.049,472.9543423
0.0492,470.2534188
0.0494,468.039547
0.0496,466.2684496
0.0498,464.9401266
0.05,464.0545779
0.0502,463.656081
0.0504,463.656081
0.0506,463.966023
0.0508,464.7187394
0.051,465.7813978
0.0512,467.1539983
0.0514,468.9693732
0.0516,471.1389675
0.0518,473.6185038
0.052,476.4079822
0.0522,479.4631253
0.0524,482.7396555
0.0526,486.1932954
0.0528,489.6469353
0.053,493.1005752
